回答,割合（％）,備考
テニス（車いすテニスを含む）,76.3,
水泳競技,62.2,
陸上競技（車いすマラソンを含む）,54.6,
バスケットボール（車椅子バスケットボールを含む）,48.6,
柔道,37.6,
ボッチャ,32.4,
サッカー（ブラインドサッカーを含む）、フットサル,26.9,
卓球（サウンドテーブルテニスを含む）,22.3,
ゴールボール,15.7,
バレーボール（シッティングバレーを含む）,12.8,
自転車,11.8,
ウィルチェアーラグビー,10.7,
アーチェリー,6.9,
アルペンスキー,5.4,
クロスカントリースキー,3.7,
パワーリフティング,3.0,
射撃,2.8,
バイアスロン,2.5,
セーリング、ボート,2.2,
その他,0.7,
わからない,1.6,
,,n=1295
,,M.T.=440.8
