回答,割合（％）,備考
地域で主催するイベントや大会（町会、老人会、子供会、地域スポーツクラブなどの大会や教室など）,7.5,
学校主催のイベントや大会（運動会など）,6.3,
職場（会社）主催のイベントや大会（ボウリング大会、野球大会、駅伝大会など）,4.9,
東京都や区市町村・社会体育団体が主催するイベントや大会（地域のスポーツ施設でのイベント、マラソン大会など）,4.6,
民間スポーツ団体主催のイベントや大会（民間スポーツクラブでのスポーツイベントや大会など）,4.6,
その他,0.8,
参加したことがない,76.5,
わからない,1.0,
,,n=1820
,,M.T.=106.3
