,仕事と生活が充実している(％),仕事と生活がやや充実している(％),どちらともいえない(％),仕事と生活があまり充実していない(％),仕事と生活が充実していない(％)
幸せ度（8～10点）,24.9,50.5,18.9,4.1,1.6
幸せ度（6～7点）,4.0,30.4,45.2,16.9,3.5
幸せ度（0～5点）,1.2,5.7,39.7,32.8,20.6
