回答,割合（％）,備考
子供のスポーツや運動の部活動やクラブ等の運営や支援,7.4,
スポーツ活動などの運営や支援（クラブ、スポーツ団体等の定期的な活動）,3.8,
スポーツイベントのボランティア（スポーツ大会などの不定期的な活動）,2.5,
仕事としてスポーツに関わっている（インストラクター、教員、スポーツ用品販売員など）,1.6,
スポーツイベントの募金やオークションなどのチャリティ活動,1.3,
活動していない,85.1,
わからない,1.8,
,,n=1820
,,M.T.=103.5
