回答,比較的軽いスポーツのみ（％）,比較的軽いスポーツと比較的広域にわたるスポーツ（％）,比較的軽いスポーツと競技的スポーツ（％）,比較的軽いスポーツと比較的広域にわたるスポーツと競技的スポーツ（％）,比較的広域にわたるスポーツのみ（％）,比較的広域にわたるスポーツと競技的スポーツ（％）,競技的スポーツのみ（％）,特にない,備考
今回調査（n=1820）,35.7,22.0,5.5,16.9,4.6,0.9,2.0,12.5,
平成26年（n=1910）,34.2,27.8,4.8,18.1,3.0,1.5,1.5,9.0,
,,,,,,,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
