回答,活動した（計）（％）,活動していない（％）,わからない（％）,備考
今回調査（n=1820）,13.1,85.1,1.8,
平成24年（n=1928）,11.0,88.2,0.7,
,,,,（注1）『活動した（計）』は「活動していない」「わからない」以外の選択肢を選んだ人の割合
,,,,（注2）平成24年は「都民のスポーツ活動に関する世論調査（平成24年7月調査）」
