,週5日以上（年251日以上）（％）,週3～4日（年151日～250日）（％）,週に2日（年101日～150日）（％）,週に1日（年51日～100日）（％）,月に1～3日（年12日～50日）（％）,3ヶ月に1～2日（年4日～11日）（％）,年に1～3日（％）,わからない（％）
全体（n=239）,4.6,7.5,8.4,13.0,18.4,20.5,24.7,2.9
エリア別区部（計）（n=159）,3.8,7.5,8.2,12.6,17.6,21.4,25.2,3.8
エリア別区部センター・コア（n=33）,0,3.0,18.2,18.2,21.2,9.1,24.2,6.1
エリア別区部区部東部・北部（n=52）,0,11.5,5.8,9.6,15.4,25.0,28.8,3.8
エリア別区部区部西部・南部（n=74）,8.1,6.8,5.4,12.2,17.6,24.3,23.0,2.7
エリア別市町村部（計）（n=79）,6.3,7.5,8.8,13.8,20.0,18.8,23.8,1.3
エリア別市町村部多摩東部（n=29）,6.9,3.4,10.3,13.8,10.3,17.2,34.5,3.4
エリア別市町村部多摩中央部北（n=8）,0,0,0,25.0,37.5,0,37.5,0
エリア別市町村部多摩中央部南（n=37）,8.1,10.8,8.1,10.8,24.3,24.3,13.5,0
エリア別市町村部多摩西部・島しょ（n=6）,0,16.7,16.7,16.7,16.7,16.7,16.7,0
