,"平成22年度（1,044件）",平成22年度件数,"平成23年度（1,026件）",平成23年度件数,平成24年度（727件）,平成24年度件数,平成25年度（654件）,平成25年度件数,平成26年度上半期（343件）,平成26年度上半期件数
1,解約一般,405,解約一般,392,解約一般,324,解約一般,283,解約一般,138
2,地デジ関連,361,家庭訪販,378,家庭訪販,265,家庭訪販,262,家庭訪販,136
3,家庭訪販,361,地デジ関連,344,説明不足,219,説明不足,200,説明不足,96
4,説明不足,318,説明不足,327,地デジ関連,100,解約料,104,契約,57
5,契約,147,契約書・書面一般,123,契約,98,契約書・書面一般,87,解約料,50
