施術内容,相談件数(件),危害相談件数(件),危害相談の割合(％),備考
リラクゼーションマッサージ,29,10,34.5,
他のエステティックサービス＊,25,7,28.0,
美顔エステ,85,19,22.4,
痩身エステ,179,18,10.1,
脱毛エステ,291,14,4.8,
エステティックサービス一般＊,96,2,2.1,
美容整体（エステティックサービス）,32,0,0.0,
合計,737,70,9.5,
,,,,（注１）「他のエステティックサービス＊」は商品キーワード「他のエステティックサービス」より、「リラクゼーションマッサージ」及び「美容整体（エステティックサービス）」を引いた件数で算出している。
,,,,（注２）「エステティックサービス一般＊」には、具体的な施術内容の名称が不明な相談、全身にわたる施術内容の相談などが寄せられている。
