回答,割合(％),人数(人),備考
1年未満,33.3,5,
1年,26.7,4,
2年,33.3,5,
3年,0.0,0,
4年,0.0,0,
5年,0.0,0,
6年,0.0,0,
7年,0.0,0,
8年以上,0.0,0,
覚えていない,6.7,1,
,,,n=15
,,,単一回答
