回答,今回調査（％）,平成27年（％）,
テレビ番組,88.6,82.3,
新聞,28.7,27.1,
ＣＭ,16.0,8.4,
ポスター,8.1,6.1,
ラジオ番組,6.3,3.9,
ＳＮＳ（フェイスブック、ツイッターなど）,5.8,3.7,
ホームページ、ブログ,5.4,4.1,
雑誌,4.7,5.7,
家族・友人・知人,3.8,3.8,
大会、イベント,2.5,2.4,
その他,1.0,0.6,
情報を得ていない,4.7,10.5,
わからない,3.0,,
,,,今回調査（n=1820）
,,,平成27年（n=1900）
