質問,ｎ数(人),転落・転倒(人),溺水(人),ぶつけた(人),その他(人)
全体,27,15,2,2,8
男の子,14,7,0,1,6
男の子０歳,0,0,0,0,0
男の子１歳,1,0,0,0,1
男の子２歳,7,4,0,1,2
男の子３歳,3,2,0,0,1
男の子４歳,2,0,0,0,2
男の子５歳,1,1,0,0,0
男の子６歳,0,0,0,0,0
女の子,13,8,2,1,2
女の子０歳,0,0,0,0,0
女の子１歳,4,2,2,0,0
女の子２歳,5,4,0,0,1
女の子３歳,3,2,0,1,0
女の子４歳,1,0,0,0,1
女の子５歳,0,0,0,0,0
女の子６歳,0,0,0,0,0
