回答,割合(％),人数(人),備考
自身で所有（機種は主に自分が決定）,88.3,887,
自身で所有（機種は主に家族等が決定）,10.0,10,
会社等で所有（機種は主に自分が決定）,1.0,10,
会社等で所有（機種は主に会社が決定）,0.6,6,
その他の所有形態,0.2,2,
,,,n=1005
,,,単一回答
