回答,必要である（％）,ある程度必要である（％）,あまり必要でない（％）,必要でない（％）,わからない（％）,必要である（計）（％）,必要でない（計）（％）,備考
全体（n=1820）,58.9,33.4,3.3,1.9,2.5,92.3,5.2,
スポーツを支える活動の有無別実際に観戦した（計）（n=716）,71.1,26.8,0.8,0.3,1.0,97.9,1.1,
スポーツを支える活動の有無別観戦しなかった（n=1089）,51.1,37.7,5.0,2.8,3.5,88.8,7.7,
テレビ・ラジオ、インターネット配信等での観戦の有無別テレビ・ラジオ、インターネット配信等で観戦した（計）（n=1680）,61.3,33.0,2.7,1.3,1.7,94.3,4.0,
テレビ・ラジオ、インターネット配信等での観戦の有無別観戦しなかった（n=130）,30.8,37.7,10.8,8.5,12.3,68.5,19.2,
スポーツ観戦の有無別活動した（計）（n=239）,75.7,23.0,0,0.8,0.4,98.7,0.8,
スポーツ観戦の有無別活動していない（n=1548）,56.2,35.3,3.7,2.1,2.6,91.5,5.8,
,,,,,,,,（注）『必要である（計）』は「必要である」「ある程度必要である」の合計『必要でない（計）』は「必要でない」「あまり必要でない」の合計
