,n,地域で主催するイベントや大会（町会、老人会、子供会、地域スポーツクラブなどの大会や教室など）（％）,東京都や区市町村・社会体育団体が主催するイベントや大会（地域のスポーツ施設でのイベント、マラソン大会など）（％）,民間スポーツ団体主催のイベントや大会（民間スポーツクラブでのスポーツイベントや大会など）（％）,学校主催のイベントや大会（運動会など）（％）,職場（会社）主催のイベントや大会（ボウリング大会、野球大会、駅伝大会など）（％）,その他（％）,特に決まっていない（％）,参加したいと思わない（％）
全体,1820,16.3,14.3,8.6,6.8,6.2,0.8,27.9,38.7
エリア別区部（計）,1184,15.0,14.4,8.6,6.4,7.3,0.8,27.7,40.1
エリア別区部センター・コア,297,15.5,12.5,7.4,7.1,6.1,1.7,25.9,43.1
エリア別区部区部東部・北部,381,13.6,10.5,7.3,6.6,8.4,0.5,31.8,39.6
エリア別区部区部西部・南部,506,15.8,18.6,10.3,5.9,7.1,0.6,25.7,38.7
エリア別市町村部（計）,636,18.7,14.2,8.5,7.5,4.1,0.8,28.3,36.0
エリア別市町村部多摩東部,236,18.6,16.9,8.5,6.4,5.1,0.8,28.4,34.7
エリア別市町村部多摩中央部北,99,15.2,12.1,8.1,8.1,3.0,,33.3,37.4
エリア別市町村部多摩中央部南,263,17.9,12.2,9.1,8.7,3.8,1.1,26.6,38.0
エリア別市町村部多摩西部・島しょ,38,34.2,15.8,5.3,5.3,2.6,,26.3,26.3
性・年齢別男性（計）,868,16.2,16.6,9.8,7.1,8.9,0.9,26.4,37.6
性・年齢別男性18・19歳,17,5.9,23.5,29.4,11.8,5.9,,52.9,5.9
性・年齢別男性20代,87,8.0,13.8,10.3,12.6,9.2,,32.2,40.2
性・年齢別男性30代,113,12.4,17.7,9.7,11.5,13.3,,23.0,37.2
性・年齢別男性40代,168,16.1,23.2,11.3,14.3,13.7,1.2,28.0,29.8
性・年齢別男性50代,175,13.1,22.3,12.0,4.0,12.0,2.3,24.6,37.1
性・年齢別男性60代,156,21.8,13.5,7.1,1.3,5.1,,21.8,42.9
性・年齢別男性70歳以上,152,23.0,5.9,5.9,2.0,0.7,1.3,27.6,43.4
性・年齢別女性（計）,952,16.4,12.3,7.5,6.5,3.7,0.7,29.3,39.7
性・年齢別女性18・19歳,13,15.4,15.4,15.4,46.2,,,15.4,30.8
性・年齢別女性20代,94,7.4,10.6,2.1,6.4,12.8,,34.0,38.3
性・年齢別女性30代,113,22.1,18.6,12.4,16.8,4.4,1.8,32.7,27.4
性・年齢別女性40代,199,13.1,15.1,8.5,11.6,4.0,,32.7,34.2
性・年齢別女性50代,181,14.9,18.2,12.2,2.8,3.9,0.6,33.1,35.9
性・年齢別女性60代,156,19.2,7.7,7.7,1.3,1.3,,24.4,46.8
性・年齢別女性70歳以上,196,19.9,4.6,1.0,0.5,0.5,2.0,23.0,51.5
