質問,割合(%)
耐震診断や耐震化に係る費用助成,68.7
法令等に基づく建物所有者への指導や指示,58.7
耐震化に係る税制上の優遇措置,57.5
耐震診断の義務付け,54.6
耐震化の義務付け,54.0
耐震化に役立つ情報の提供,41.5
補強設計の義務付け,35.9
その他,1.5
行政が行うべきことはない,0.4
