回答,割合（％）,備考
健康・体力づくりのため,67.2,
運動不足を感じるから,49.2,
楽しみや、気晴らしとして,47.9,
友人・仲間との交流として,24.2,
美容や肥満解消のため,15.1,
家族のふれあいとして,13.8,
自己の記録や能力を向上させるため,5.7,
精神の修養や訓練のため,5.4,
その他,3.2,
特に理由はない,1.9,
,,n=1547
,,M.T.=233.5
