,平成20年度（件）,平成21年度（件）,平成22年度（件）,平成23年度（件）,平成24年度（件）,平成25年度（件）,平成26年度（件）,平成27年度（件）,平成28年度（件）
合計,170,144,96,101,114,127,130,91,124
区市町,102,97,61,64,85,84,94,63,95
都,68,47,35,37,29,43,36,28,29
