回答,今回調査（％）,平成26年（％）,備考
仕事や家事・育児が忙しくて時間がないから,43.2,42.3,
機会がなかったから,22.0,18.5,
年をとったから,17.2,19.4,
体が弱いから,11.4,14.5,
スポーツ・運動が好きではないから,11.4,9.3,
お金がかかるから,4.4,2.6,
仲間がいないから,1.8,3.1,
場所や施設がないから,1.5,2.2,
指導者がいないから,0,0.9,
その他,11.4,16.3,
特に理由はない,12.8,9.7,
無回答,1.1,0.4,
,,,今回調査（n=273）
,,,平成26年（n=227）
,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
