回答,割合(％),人数(人),備考
机、テーブル、椅子等の家具の上,17.9,180,
バッグの中,54.8,551,
ポケット（Yシャツ、Tシャツ）の中,4.0,40,
ポケット（ジャケット、羽織）の中,2.3,23,
ポケット（パンツ、スカート）の中,5.3,53,
それ以外のポケットの中,1.8,18,
その他,1.3,13,
移動中の使用経験はない,12.6,127,
,,,n=1005
,,,単一回答
