支出月,科目,支出目的,支出額（円）,支出相手先
7月,補助金,高校生修学支援基金における余剰額の国庫納付（復興予算）,865980734,文部科学省
7月,補助金,高校生修学支援基金における余剰額の国庫納付（特例交付金）,81223552,文部科学省
5月,補助金,平成26年度授業料減免事業及び奨学金事業予算への充当のため,1777130000,公益財団法人東京都私学財団
