質問持家の方(n=306),割合(%)
制度を知らないし、耐震マークが所有建物に付いていない,82.7
制度を知らないが、耐震マークが所有建物に付いている,7.5
制度を知っており、耐震マークが所有建物に付いている,5.2
制度を知っているが、耐震マークが所有建物に付いていない,4.6
