区分,高校全・定,高校通信制,中等教育学校,中学校,義務教育学校,小学校,幼稚園,特別支援学校,専修学校,各種学校,幼保連携型認定こども園,合計
学校数私立(%),237(55.2),9(75.0),,188(23.3),,53(4.0),822(82.6),4(5.7),394(97.8),154(100.0),18(66.7),1879(44.3)
学校数公立(%),186(43.4),3(25.0),6(75.0),613(76.0),6(100.0),1276(95.6),171(17.2),62(88.6),8(2.0),,9(33.3),23404(55.1)
学校数国立(%),6(1.4),,2(25.0),6(0.7),,6(0.4),2(0.2),4(5.7),1(0.2),,0(0.0),27(0.6)
学校数計(%),429（100.0）,12（100.0）,8（100.0）,807（100.0）,6（100.0）,1335（100.0）,995（100.0）,70（100.0）,403（100.0）,154（100.0）,27（100.0）,"4,246（100.0）"
