順位(位),23年度,23年度(件)/(35011件),24年度,24年度(件)/(33541件),25年度,25年度(件)/(39094件),26年度上半期,26年度上半期(件)/(19935件),備考
1,解約一般,5985,解約一般,5951,解約一般,6842,解約一般,3385,
2,電話勧誘,5007,電話勧誘,5006,電話勧誘,6384,インターネット通販,2803,
3,信用性,4135,家庭訪販,4088,家庭訪販,4258,電話勧誘,2782,
4,返金,4081,信用性,3959,信用性,4212,信用性,2273,
5,家庭訪販,4075,返金,3480,インターネット通販,4042,家庭訪販,2134,
6,高価格･料金,3534,高価格･料金,3460,高価格･料金,3984,高価格・料金,1870,
7,説明不足,2714,インターネット通販,2837,返金,3847,返金,1716,
8,インターネット通販,2605,説明不足,2621,強引,3159,説明不足,1535,
9,契約書･書面一般,2280,契約書･書面一般,2459,説明不足,2866,契約,1471,
10,強引,2274,契約,2398,契約書･書面一般,2774,契約書･書面一般,1463,
,,,,,,,,,複数集計
