,n,子供のスポーツや運動の部活動やクラブ等の運営や支援（％）,スポーツ活動などの運営や支援（クラブ、スポーツ団体等の定期的な活動）（％）,スポーツイベントのボランティア（スポーツ大会などの不定期的な活動）（％）,仕事としてスポーツに関わっている（インストラクター、教員、スポーツ用品販売員など）（％）,スポーツイベントの募金やオークションなどのチャリティ活動（％）,活動していない（％）,わからない（％）
全体,1820,7.4,3.8,2.5,1.6,1.3,85.1,1.8
エリア別区部（計）,1184,7.5,3.5,2.9,1.9,1.3,84.7,1.9
エリア別区部センター・コア,297,6.7,3.7,2.0,1.7,0.3,86.5,2.4
エリア別区部区部東部・北部,381,6.6,3.7,3.7,1.6,1.6,84.0,2.4
エリア別区部区部西部・南部,506,8.7,3.2,2.8,2.4,1.6,84.2,1.2
エリア別市町村部（計）,636,7.1,4.4,1.7,1.1,1.4,85.7,1.7
エリア別市町村部多摩東部,236,5.5,3.8,1.7,1.7,2.5,86.4,1.3
エリア別市町村部多摩中央部北,99,6.1,3.0,2.0,1.0,,89.9,2.0
エリア別市町村部多摩中央部南,263,8.4,5.3,1.9,0.8,0.8,84.4,1.5
エリア別市町村部多摩西部・島しょ,38,10.5,5.3,,,2.6,78.9,5.3
性・年齢別男性（計）,868,5.8,4.4,2.4,2.2,1.4,86.3,1.3
性・年齢別男性18・19歳,17,5.9,11.8,5.9,,,82.4,5.9
性・年齢別男性20代,87,2.3,4.6,2.3,2.3,2.3,87.4,3.4
性・年齢別男性30代,113,4.4,6.2,0.9,3.5,1.8,87.6,
性・年齢別男性40代,168,13.1,2.4,1.8,2.4,1.2,81.5,1.8
性・年齢別男性50代,175,6.9,5.7,1.1,4.0,,85.7,0.6
性・年齢別男性60代,156,1.9,2.6,4.5,1.3,2.6,87.8,0.6
性・年齢別男性70歳以上,152,3.3,4.6,3.3,,1.3,89.5,1.3
性・年齢別女性（計）,952,8.8,3.3,2.5,1.2,1.3,83.9,2.3
性・年齢別女性18・19歳,13,,7.7,,,,84.6,7.7
性・年齢別女性20代,94,5.3,4.3,2.1,2.1,,89.4,1.1
性・年齢別女性30代,113,10.6,1.8,1.8,3.5,,83.2,1.8
性・年齢別女性40代,199,24.6,4.5,3.0,1.0,0.5,71.4,1.5
性・年齢別女性50代,181,6.6,3.9,3.9,0.6,1.7,84.5,2.2
性・年齢別女性60代,156,1.9,3.2,1.9,0.6,3.2,89.1,3.2
性・年齢別女性70歳以上,196,1.5,1.5,2.0,0.5,1.5,89.8,3.1
