,平成21年度(件),平成22年度(件),平成23年度(件),平成24年度(件),平成25年度上半期(件)
その他の販売形態,2151,2147,2282,2164,1310
店舗購入,781,748,836,717,392
訪問販売,862,869,876,848,522
