回答,1人（％）,2人（％）,3人（％）,4人（％）,5人以上（％）,1人も知らない（％）,知っている（計）（％）,備考
今回調査（n=1820）,13.4,12.9,14.1,4.1,13.0,42.6,57.4,
平成27年（n=1900）,15.2,17.8,14.1,2.3,5.4,45.2,54.8,
,,,,,,,,（注1）『知っている（計）』は「1人」～「5人以上」の合計
,,,,,,,,（注2）平成27年は「都民生活に関する世論調査（平成27年8月調査）」
