質問,割合(%)
インターネットの検索サイト(Google、Bing、Yahoo!など)からキーワードを入力して探す,54.2
東京都の公式ホームページを開いて、見出しや分類などのメニューから探す,44.0
東京都の公式ホームページを開いて、検索窓からキーワードを入力して探す,37.4
ニュースアプリ(Yahoo!ニュース、SmsrtNews、LINEニュースなど)を利用して探す,6.0
ソーシャルメディア(Twitter、Facebook、LINEなど)を利用して探す,3.8
その他,1.1
