,平成22年度（796件）,平成22年度件数,平成23年度（875件）,平成23年度件数,平成24年度（812件）,平成24年度件数,平成25年度（950件）,平成25年度件数,平成26年度上半期（508件）,平成26年度上半期件数
1,地デジ関連,255,家庭訪販,273,家庭訪販,278,家庭訪販,410,家庭訪販,223
2,家庭訪販,172,解約一般,217,解約一般,218,契約,248,契約,135
3,契約,171,契約,166,契約,205,解約一般,245,解約一般,133
4,解約一般,155,地デジ関連,154,強引,153,強引,228,強引,128
5,説明不足,96,強引,140,他の接客対応,106,他の接客対応,131,公共料金,78
