,ｎ,東京マラソン（％）,都民体育大会（％）,ＴＯＫＹＯウオーク（％）,東京都障害者スポーツ大会（％）,東京都パラリンピック体験プログラム「ＮＯＬＩＭＩＴＳＣＨＡＬＬＥＮＧＥ」（％）,スポーツ博覧会東京（％）,チャレスポ！ＴＯＫＹＯ（％）,ニュースポーツＥＸＰＯin多摩（％）,その他（％）,特にない（％）
全体,1820,94.6,20.7,12.5,10.3,5.5,2.5,1.8,1.3,0.1,4.8
エリア別区部（計）,1184,95.2,20.5,13.6,10.3,5.3,2.7,1.4,0.7,0.1,4.1
エリア別区部センター・コア,297,96.0,23.2,13.8,6.1,4.0,3.0,1.7,1.0,,3.7
エリア別区部区部東部・北部,381,93.7,17.1,13.4,11.0,6.0,3.1,1.0,0.5,0.3,5.5
エリア別区部区部西部・南部,506,95.8,21.5,13.6,12.3,5.5,2.2,1.6,0.6,,3.4
エリア別市町村部（計）,636,93.4,21.1,10.5,10.4,5.8,2.2,2.5,2.4,0.2,6.0
エリア別市町村部多摩東部,236,95.3,25.0,14.8,16.5,8.1,3.4,3.8,3.8,,3.8
エリア別市町村部多摩中央部北,99,89.9,23.2,7.1,7.1,4.0,3.0,7.1,1.0,,9.1
エリア別市町村部多摩中央部南,263,93.2,16.7,7.2,6.5,4.6,1.1,,1.9,0.4,6.5
エリア別市町村部多摩西部・島しょ,38,92.1,21.1,15.8,7.9,5.3,,,,,7.9
性・年齢別男性（計）,868,94.2,23.4,12.3,8.5,4.4,2.3,1.5,1.5,,4.8
性・年齢別男性18・19歳,17,82.4,17.6,11.8,,5.9,5.9,,,,17.6
性・年齢別男性20代,87,86.2,17.2,9.2,8.0,,,,1.1,,12.6
性・年齢別男性30代,113,97.3,23.0,8.8,6.2,4.4,1.8,2.7,2.7,,1.8
性・年齢別男性40代,168,96.4,20.2,10.1,8.9,6.0,4.8,3.0,0.6,,3.0
性・年齢別男性50代,175,97.7,24.0,14.3,8.6,2.9,1.1,1.1,0.6,,1.7
性・年齢別男性60代,156,94.2,25.6,14.7,12.2,4.5,2.6,,1.9,,5.1
性・年齢別男性70歳以上,152,91.4,28.3,14.5,7.2,6.6,2.0,2.0,2.6,,6.6
性・年齢別女性（計）,952,94.9,18.3,12.7,12.0,6.5,2.7,2.1,1.1,0.2,4.7
性・年齢別女性18・19歳,13,100.0,15.4,7.7,7.7,15.4,15.4,,,,
性・年齢別女性20代,94,91.5,9.6,4.3,2.1,,1.1,2.1,,,8.5
性・年齢別女性30代,113,93.8,16.8,11.5,5.3,3.5,3.5,2.7,2.7,0.9,5.3
性・年齢別女性40代,199,98.5,17.1,11.1,7.5,6.0,2.5,2.5,1.0,,1.5
性・年齢別女性50代,181,95.0,22.7,16.6,15.5,6.6,2.2,1.1,1.7,,4.4
性・年齢別女性60代,156,92.9,17.3,12.8,17.9,7.1,2.6,2.6,0.6,0.6,6.4
性・年齢別女性70歳以上,196,94.4,21.4,15.8,17.3,10.7,3.1,2.0,0.5,,5.1
