回答,今回調査（％）,平成26年（％）,備考
東京マラソン,94.6,95.2,
都民体育大会,20.7,26.0,
ＴＯＫＹＯウオーク,12.5,12.1,
東京都障害者スポーツ大会,10.3,18.0,
東京都パラリンピック体験プログラム「ＮＯＬＩＭＩＴＳＣＨＡＬＬＥＮＧＥ」,5.5,,
スポーツ博覧会東京,2.5,3.8,
チャレスポ！ＴＯＫＹＯ,1.8,1.1,
ニュースポーツＥＸＰＯin多摩,1.3,1.6,
その他,0.1,0.3,
特にない,4.8,4.1,今回調査（n=1820）
,,,平成26年（n=1910）
,,,（注1）「東京都パラリンピック体験プログム『ＮＯＬＩＭＩＴＳＣＨＡＬＬＥＮＧＥ』」は今回調査から追加
,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
