回答,割合（％）,備考
1人,13.4,
2人,12.9,
3人,14.1,
4人,4.1,
5人以上,13.0,
1人も知らない,42.6,
知っている（計）,57.4,
,,n=1820
,,（注）『知っている（計）』は「1人」～「5人以上」の合計
