質問,割合(%)
建物を設計・施工(建築)した事業者,43.8
大手の事業者,20.5
建築関係の事業者団体が勧める事業者,13.8
地元の工務店,7.3
知人や親類が勧める事業者,5.6
その他,5.2
インターネットで探した事業者,3.7
