回答,割合（％）,備考
野球,62.3,
テニス,60.5,
サッカー、フットサル,60.2,
水泳競技,56.3,
卓球,54.7,
体操,48.8,
マラソン、駅伝,48.1,
陸上競技,47.4,
スケート、フィギュアスケート,46.6,
相撲,46.2,
バレーボール、バスケットボール,43.4,
バドミントン,42.3,
柔道、剣道、空手,41.6,
ボクシング、レスリング、その他の格闘技,35.7,
ラグビー、アメリカンフットボール,30.9,
ゴルフ,30.8,
ダンス（ダンススポーツ、社交ダンス、チアリーディング、ヒップホップなど）,11.5,
ソフトボール,9.5,
その他,1.9,
観戦しなかった,7.1,
わからない,0.5,
,,n=1820
,,M.T.=786.3
