回答,割合（％）,備考
ラグビーの国際試合を都内で開催する,32.4,
ホームページやＳＮＳ（フェイスブック、ツイッターなど）を通じた情報発信を強化する,28.8,
ラグビーの国際試合を、入場無料の公共の場における大型スクリーン（パブリックビューイング）で放映する,24.8,
選手とのふれあいの機会を設ける,19.7,
ＰＲグッズを作成・配布する,19.6,
ラグビーの普及啓発・教育活動を推進する,17.4,
横断幕やフラッグ等による街頭装飾・演出（シティドレッシング）を行う,15.7,
大会時のボランティアを募集する,12.2,
ラグビー以外のスポーツイベントで、展示ブースを設けて大会をＰＲする,12.0,
カウントダウンイベントを開催する,7.4,
その他,4.5,
わからない,26.4,
,,n=1820
,,M.T.=220.7
