,60歳代,60歳代(件)/(8014件),70歳代,70歳代(件)/(7529件),80歳以上,80歳以上(件)/(4392件)
1,デジタルコンテンツ,1382,デジタルコンテンツ,694,商品一般,247
2,工事・建築,366,商品一般,376,工事・建築,228
3,不動産貸借,336,工事・建築,319,役務その他サービス,176
4,商品一般,300,役務その他サービス,267,デジタルコンテンツ,151
5,フリーローン・サラ金,230,相談その他,239,相談その他,146
6,役務その他サービス,226,不動産貸借,208,新聞,142
7,相談その他,175,ファンド型投資商品,193,健康食品,133
8,インターネット接続回線,161,インターネット接続回線,164,ファンド型投資商品,119
9,携帯電話サービス,155,フリーローン・サラ金,157,インターネット接続回線,91
10,ファンド型投資商品,108,健康食品,147,不動産貸借,90
