回答,今回調査（％）,平成26年（％）,備考
道路や遊歩道,64.5,70.8,
広場や公園,27.6,29.2,
民間のスポーツ施設,26.2,25.9,
自宅,21.5,17.5,
山・川・海,19.8,23.8,
公共のスポーツ施設,19.3,21.2,
学校の体育施設,5.4,4.0,
職場のスポーツ施設,1.7,1.7,
その他,3.5,2.9,
わからない,0.8,1.0,
,,,今回調査（n=1547）
,,,平成26年（n=1683）
,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
