回答,割合(％),人数(人),備考
端末購入時に店頭などで説明を受けた,52.0,352,
本体に同封されていた説明書で知った,47.3,320,
インターネットで見た（検索サイトで検索するなど、安全に関して注意すべき項目を自発的に調べた）,17.0,115,
インターネットで見た（他の目的でアクセスしたページに書いてあった）,7.1,48,
あらかじめインストールされていたアプリ等で見た,7.1,48,
自発的にインストールしたアプリ等で見た,2.5,17,
他の目的でインストールしたアプリ等で見た,0.7,5,
,0.9,6,
,,,n=677
,,,複数回答
