回答,割合（％）,備考
学校、職場,39.0,
知人や友人、家族,33.3,
東京都や区市町村の広報紙,22.3,
ホームページ、ブログ,12.3,
ポスター、チラシ,8.8,
新聞,5.4,
ＳＮＳ（ツイッター、フェイスブックなど）,4.9,
テレビ,2.0,
雑誌,2.0,
ラジオ,0.5,
その他,10.0,
わからない,3.7,
,,（n=408）
,,M.T.=144.1
