貝乙,割合（％）,備考
テレビ番組,88.6,
新聞,28.7,
ＣＭ,16.0,
ポスター,8.1,
ラジオ番組,6.3,
ＳＮＳ（フェイスブック、ツイッターなど）,5.8,
ホームページ、ブログ,5.4,
雑誌,4.7,
家族・友人・知人,3.8,
大会、イベント,2.5,
その他,1.0,
情報を得ていない,4.7,
わからない,3.0,
,,n=1820
,,M.T.=178.7
