回答,週3日以上（年151日以上）（％）,週に2日（年101日～150日）（％）,週に1日（年51日～100日）（％）,月に1～3日（年12日～50日）（％）,3ヶ月に1～2日（年4日～11日）（％）,年に1～3日（％）,わからない（％）,備考
今回調査（n=1547）,27.7,19.1,19.4,18.0,8.4,4.3,3.0,
平成26年（n=1683）,31.9,17.4,19.3,17.7,7.9,4.3,1.5,
,,,,,,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
