回答,割合（％）,備考
東京都以外にも他の自治体で開催されることは知っている,10.3,
東京都で開催されることは知っている,17.3,
開催される自治体名は分からないが、日本で開催されることを知っている,27.7,
日本でラグビーワールドカップ2019?が開催されることを知らない,44.8,
,,n=1820
