実施時期,平均年齢(歳)
平成24年9月,50.1
平成25年3月,49.7
平成25年9月,53.2
平成26年3月,54.3
平成26年9月,53.8
平成27年3月,50.4
平成27年9月,53.5
平成28年3月,48.3
平成28年9月,51.2
平成29年3月,52.9
