回答,割合（％）,備考
週5日以上（年251日以上）,7.7,
週3～4日（年151日～250日）,13.0,
週に2日（年101日～150日）,18.4,
週に1日（年51日～100日）,17.6,
月に1～3日（年12日～50日）,22.1,
3ヶ月に1～2日（年4日～11日）,8.8,
年に1～3日,7.0,
わからない,5.4,
,,n=1689
