,n,パラリンピック（％）,車いすテニス（％）,車椅子バスケットボール（％）,ブラインドサッカー（％）,ボッチャ（％）,ゴールボール（％）,車いすダンス（％）,ウィルチェアーラグビー（％）,シッティングバレーボール（％）,サウンドテーブルテニス（％）,スペシャルオリンピックス（％）,デフリンピック（％）,その他（％）,特にない（％）
全体,1820,82.9,78.7,77.1,43.7,39.0,25.8,19.7,18.4,15.5,7.5,4.0,2.5,0.4,4.8
性・年齢別男性（計）,868,83.2,77.9,77.6,49.7,39.2,30.1,12.1,20.7,16.2,6.5,3.8,2.9,0.3,4.7
性・年齢別男性18・19歳,17,47.1,76.5,47.1,35.3,5.9,,5.9,17.6,,,,11.8,,23.5
性・年齢別男性20代,87,83.9,64.4,65.5,49.4,18.4,12.6,8.0,20.7,14.9,3.4,4.6,4.6,2.3,6.9
性・年齢別男性30代,113,82.3,73.5,79.6,58.4,31.9,24.8,7.1,13.3,18.6,5.3,3.5,2.7,,4.4
性・年齢別男性40代,168,87.5,78.6,76.2,57.7,43.5,28.0,9.5,22.6,20.8,6.5,3.0,3.6,0.6,3.6
性・年齢別男性50代,175,86.9,84.6,81.7,56.6,45.1,37.1,13.1,26.3,16.0,6.3,5.7,1.7,,2.9
性・年齢別男性60代,156,85.9,81.4,83.3,49.4,43.6,39.7,14.1,25.6,16.7,8.3,3.2,1.9,,3.2
性・年齢別男性70歳以上,152,75.7,77.0,77.6,28.3,44.1,31.6,18.4,13.2,11.8,7.9,3.3,2.6,,6.6
性・年齢別女性（計）,952,82.7,79.4,76.7,38.3,38.8,22.0,26.6,16.2,14.8,8.4,4.2,2.2,0.5,4.9
性・年齢別女性18・19歳,13,76.9,92.3,76.9,46.2,23.1,7.7,15.4,30.8,15.4,,7.7,7.7,,
性・年齢別女性20代,94,84,76.6,79.8,35.1,19.1,12.8,9.6,9.6,9.6,4.3,2.1,4.3,,4.3
性・年齢別女性30代,113,84.1,75.2,76.1,45.1,39.8,16.8,18.6,17.7,12.4,8.0,3.5,2.7,0.9,3.5
性・年齢別女性40代,199,85.9,81.9,79.4,48.2,37.2,24.6,20.1,17.1,15.1,5.0,6.5,1.5,1.0,3.5
性・年齢別女性50代,181,89.5,85.1,84.5,50.3,50.3,31.5,28.2,24.3,22.1,12.7,6.1,4.4,,4.4
性・年齢別女性60代,156,84.0,82.7,80.8,29.5,41.7,21.8,39.1,16.0,16.7,9.6,3.8,0.6,0.6,2.6
性・年齢別女性70歳以上,196,70.9,71.9,62.2,21.4,37.2,18.9,35.2,9.2,10.2,9.7,1.5,0.5,0.5,10.2
職業別自営・家族従業（計）,238,82.4,79.4,79.4,45.8,39.5,27.7,16.4,18.1,18.5,8.8,3.4,0.8,0.8,5.0
職業別勤め（計）,926,85.2,79.4,78.5,50.6,39.7,26.8,17.4,20.4,16.2,6.4,4.6,3.1,0.5,3.9
職業別勤め経営・管理職,51,96.1,90.2,86.3,78.4,64.7,47.1,17.6,37.3,23.5,11.8,7.8,3.9,,
職業別勤め専門・技術職,43,90.7,79.1,72.1,51.2,44.2,30.2,11.6,23.3,7.0,11.6,2.3,,,2.3
職業別勤め事務職,453,86.8,79.0,79.0,54.7,41.7,28.0,17.2,21.4,18.3,6.2,5.7,3.8,0.7,3.3
職業別勤め労務・技能職,155,80.0,80.6,79.4,47.1,35.5,24.5,16.8,16.8,10.3,7.1,2.6,1.9,0.6,6.5
職業別勤め販売・サービス職,196,81.1,77.0,76.5,37.2,32.7,20.4,20.4,15.8,15.8,4.1,4.1,3.6,0.5,4.1
職業別無職の主婦・主夫,432,81.0,79.2,73.8,32.4,42.4,25.0,29.4,15.3,12.7,9.7,3.5,1.2,0.2,6.3
職業別学生,73,83.6,80.8,71.2,45.2,12.3,11.0,11.0,24.7,17.8,5.5,2.7,8.2,,4.1
職業別その他の無職,141,75.2,72.3,79.4,30.5,36.9,26.2,16.3,12.8,13.5,7.1,3.5,2.1,,5.0
