,"相談全体（66,190件）","放送・通信サービス（4,137件）",テレビ放送サービス（508件）,有線テレビ放送(343件)(%),"インターネット接続回線（1,122件）",固定電話サービス（391件）,"携帯電話サービス（1,229件）",モバイルデータ通信（544件)(%)
給与生活者,37.4,36.7,32.5,24.8,38.1,15.1,39.8,53.7
自営･自由業,6.4,7.6,4.3,7.9,7.0,12.0,7.3,9.0
家事従事者,15.2,11.6,12.8,14.3,11.8,11.3,11.6,9.0
学生,4.4,4.2,9.1,1.2,4.4,1.3,3.4,5.0
無職,21.1,25.8,26.8,35.9,26.2,37.1,23.1,16.0
企業･団体等,3.8,3.2,2.0,4.4,2.9,12.3,2.0,0.4
不明等,11.7,10.9,12.5,11.5,9.8,10.9,12.8,6.9
