,20歳未満(%),20歳代(%),30歳代(%),40歳代(%),50歳代(%),60歳代(%),70歳以上(%),不明等(%)
相談全体(66190件),2.4,10.2,14.1,16.1,12.5,12.1,18.0,14.6
インターネット取引相談(17456件),6.3,13.5,19.8,22.5,15.0,10.4,6.1,6.5
