,28年度（件）,27年度（件）,対前年度比(%)
20歳未満,714,1214,58.8
20歳代,1774,2219,79.9
30歳代,2348,3195,73.5
40歳代,3505,4496,78.0
50歳代,3533,4098,86.2
60歳代,3426,3834,89.4
70歳以上,2493,2600,95.9
不明等,1133,1298,87.3
計,18926,22954,82.5
