,n,子供のスポーツや運動の部活動やクラブ等の運営や支援（％）,スポーツ活動などの運営や支援（クラブ、スポーツ団体等の定期的な活動）（％）,スポーツイベントのボランティア（スポーツ大会などの不定期的な活動）（％）,仕事としてスポーツに関わっている（インストラクター、教員、スポーツ用品販売員など）（％）,スポーツイベントの募金やオークションなどのチャリティ活動（％）,活動していない（％）,わからない（％）
全体,1820,7.4,3.8,2.5,1.6,1.3,85.1,1.8
職業別自営・家族従業（計）,238,8.0,3.8,2.5,1.7,1.3,84.9,1.3
職業別勤め（計）,926,8.4,3.6,2.3,2.4,1.4,84.1,1.6
職業別勤め経営・管理職,51,5.9,9.8,3.9,2.0,,82.4,
職業別勤め専門・技術職,43,7.0,2.3,,4.7,2.3,83.7,2.3
職業別勤め事務職,453,9.7,2.9,2.4,2.6,1.8,83.2,1.8
職業別勤め労務・技能職,155,4.5,2.6,0.6,1.3,0.6,89.0,1.3
職業別勤め販売・サービス職,196,9.2,4.6,3.6,2.6,1.5,82.7,2.0
職業別無職の主婦・主夫,432,6.7,2.5,1.9,0.2,0.9,88.2,1.4
職業別学生,73,6.8,13.7,5.5,2.7,2.7,72.6,5.5
職業別その他の無職,141,2.1,4.3,4.3,0.7,1.4,88.7,2.1
