質問,割合(%)
多様な働き方(短時間勤務制度やテレワーク等),61.2
ライフ・ワーク・バランス(長時間労働の縮減等),39.5
女性が働きやすい職場の雰囲気,34.5
女性が働きやすい設備(ベビールームや授乳室等),29.2
保育所の設置促進,29.0
男女共に育児休暇を取得しやすい職場環境の整備,27.9
キャリアアップや業績評価等の制度,19.7
各種介護サービスの充実,18.0
男性の家事・育児時間の増加,17.0
その他,4.7
