,ｎ数(人),やけど(人),転落・転倒(人),その他(人)
全体,60,47,2,11
男の子,40,31,2,7
男の子０歳,2,2,0,0
男の子１歳,8,4,2,2
男の子２歳,16,12,0,4
男の子３歳,4,3,0,1
男の子４歳,7,7,0,0
男の子５歳,2,2,0,0
男の子６歳,1,1,0,0
女の子,20,16,0,4
女の子０歳,0,0,0,0
女の子１歳,7,5,0,2
女の子２歳,6,4,0,2
女の子３歳,3,3,0,0
女の子４歳,3,3,0,0
女の子５歳,0,0,0,0
女の子６歳,1,1,0,0
