回答,割合（％）,備考
週3日以上（年151日以上）,27.7,
週に2日（年101日～150日）,19.1,
週に1日（年51日～100日）,19.4,
月に1～3日（年12日～50日）,18.0,
3ヶ月に1～2日（年4日～11日）,8.4,
年に1～3日,4.3,
わからない,3.0,
,,n=1547
