順位(位),商品・役務分類,件数(件)
1,新聞,50
2,健康食品,46
3,工事・建築,30
4,商品一般,25
5,ふとん類,22
6,ファンド型投資商品,20
7,インターネット接続回線,17
8,修理サービス,15
8,ネックレス,11
10,かに,9
