回答,割合(％),人数(人),備考
ついている（水で洗っても大丈夫、1m程度の水深に沈めても大丈夫などの記載がある、IPX5/7等級と記載されていた、製品を水に沈めたものがディスプレイされていたなど）,10.9,110,
ついている（生活防水と記載されていた）,14.4,145,
ついているが、防水性能の程度はわからない,11.0,111,
ついていない,41.0,412,
ついていないが、防水加工を行った,0.2,2,
ついていないが、防水加工を行った必要に応じて防水ケースに入れている,2.6,26,
わからない,19.8,199,
,,,n=1005
,,,単一回答
