,ｎ数(人),便器(人),子供用便座(人),ドア,ペーパーホルダー(人),掃除用品(人),消臭剤(人),トイレマット(人),お尻洗浄シャワー(人),トイレットペーパー(人),タオルかけ(人),その他(人)
全体,224,104,41,34,8,8,8,8,6,1,1,5
男の子,129,63,24,17,6,4,3,5,2,1,0,4
男の子０歳,8,3,1,0,2,0,1,0,0,0,0,1
男の子１歳,23,12,1,9,0,1,0,0,0,0,0,0
男の子２歳,47,21,11,5,1,2,2,1,2,1,0,1
男の子３歳,43,22,10,2,3,1,0,4,0,0,0,1
男の子４歳,5,3,0,1,0,0,0,0,0,0,0,1
男の子５歳,3,2,1,0,0,0,0,0,0,0,0,0
男の子６歳,0,0,0,0,0,0,0,0,0,0,0,0
女の子,95,41,17,17,2,4,5,3,4,0,1,1
女の子０歳,1,0,0,0,0,0,1,0,0,0,0,0
女の子１歳,15,5,0,5,1,1,1,0,2,0,0,0
女の子２歳,37,15,10,5,0,3,0,2,0,0,1,1
女の子３歳,29,14,6,4,0,0,3,1,1,0,0,0
女の子４歳,8,5,0,1,1,0,0,0,1,0,0,0
女の子５歳,5,2,1,2,0,0,0,0,0,0,0,0
女の子６歳,0,0,0,0,0,0,0,0,0,0,0,0
