回答,割合(％),人数(人),備考
1年未満,22.2,4,
1年,44.4,8,
2年,27.8,5,
3年,5.6,1,
4年,0.0,0,
5年,0.0,0,
6年,0.0,0,
7年,0.0,0,
8年以上,0.0,0,
覚えていない,0.0,0,
,,,n=18
,,,単一回答
