回答,必要である（％）,ある程度必要である（％）,あまり必要でない（％）,必要でない（％）,わからない（％）,必要である（計）（％）,必要でない（計）（％）,備考
今回調査（n=1820）,58.9,33.4,3.3,1.9,2.5,92.3,5.2,
平成26年（n=1910）,61.2,31.9,4.1,1.7,1.1,93.1,5.8,
,,,,,,,,（注1）『必要である（計）』は「必要である」「ある程度必要である」の合計『必要でない（計）』は「必要でない」「あまり必要でない」の合計
,,,,,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
