回答,効果がある（計）,特に効果はない,わからない,
割合（％）,96.3,1.0,2.6,
備考,,,,n=1820
,,,,（注）『効果がある（計）』は「特に効果はない」「わからない」以外の選択肢を選んだ人の割合
