年齢別,n,割合（％）,備考
今回調査18・19歳,30,50.0,
平成26年18・19歳,,,
今回調査20代,181,40.9,
平成26年20代,146,43.2,
今回調査30代,226,47.3,
平成26年30代,285,46.7,
今回調査40代,367,54.0,
平成26年40代,365,54.0,
今回調査50代,356,55.9,
平成26年50代,334,59.6,
今回調査60代,312,64.4,
平成26年60代,355,68.7,
今回調査70歳以上,348,66.4,
平成26年70歳以上,425,75.1,
,,,（注1）18・19歳は今回調査から調査対象に追加
,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
