,全体(人),家庭用プール(人),ホース(人),洗濯機(人),シンク(人),水栓(人),その他(人)
全体,136,78,27,8,7,6,10
男の子,85,48,14,8,5,4,6
男の子０歳,5,5,0,0,0,0,0
男の子１歳,16,10,1,1,1,2,1
男の子２歳,31,16,7,2,2,1,3
男の子３歳,18,10,3,3,1,0,1
男の子４歳,9,5,2,0,1,1,0
男の子５歳,6,2,1,2,0,0,1
男の子６歳,0,0,0,0,0,0,0
女の子,51,30,13,0,2,2,4
女の子０歳,3,3,0,0,0,0,0
女の子１歳,16,9,4,0,1,0,2
女の子２歳,16,8,5,0,1,0,2
女の子３歳,10,6,3,0,0,1,0
女の子４歳,3,1,1,0,0,1,0
女の子５歳,3,3,0,0,0,0,0
女の子６歳,0,0,0,0,0,0,0
