企業総数(社),中小企業数(社),中小企業割合(％),従業者総数(人),中小企業事業所従業者数(人),中小企業事業所従業者割合(％),備考
445864,441377,99.0,7348050,4088253,55.6,
,,,,,,注：数値は、総務省・経済産業省「経済センサス-活動調査」を東京都産業労働局で再編加工
