質問,割合(%)
耐震化に係る助成制度の充実,70.0
耐震化に係る税制優遇措置の拡大,61.8
分譲マンションなど集合住宅での合意形成の支援,46.4
信頼できる耐震改修業者等の紹介,41.7
耐震化総合相談窓口など相談体制の充実・強化,41.3
耐震改修工法等の情報提供,40.6
個別訪問等による建物所有者への働きかけ,36.3
イベントなど耐震化促進に向けた普及啓発,34.8
その他,1.3
特にない,0.9
