,20歳未満(%),20歳代(%),30歳代(%),40歳代(%),50歳代(%),60歳代(%),70歳以上(%)
17年度(n=6654),0.8,30.4,33.9,15.3,10.2,5.8,3.7
18年度(n=6220),0.7,29.4,33.7,15.6,10.2,5.4,5.0
19年度(n=6615),0.8,28.5,33.8,16.1,10.0,6.7,4.1
20年度(n=6547),0.8,26.8,33.8,16.9,10.5,6.7,4.6
21年度(n=7891),0.8,25.0,32.8,16.7,10.8,8.2,5.6
