回答,割合（％）,備考
家でテレビ観戦したい,63.2,
チケットを購入してスタジアムで観戦したい,13.6,
入場無料の公共の場における大型スクリーン放映（パブリックビューイング）で観戦したい,6.3,
スポーツバーで観戦したい,4.1,
スマートフォンやＰＣ等でインターネット観戦したい,3.1,
観戦したいと思わない,23.1,
わからない,6.5,
,,n=1820
,,M.T.=119.8
